remove_correlation,augment,remove_outliers,split_method,train_model,MSE,R2,error
False,True,True,kfold,linear,885124538286.2018,0.6591434290920251,
False,False,True,kfold,linear,898365010514.4047,0.6425651191223247,
True,False,True,kfold,linear,1004757981641.1647,0.6139782257963795,
True,True,True,kfold,linear,1018669352755.8805,0.6167488976361777,
False,False,True,kfold,nn,1046006592951.635,0.5835534977644171,
False,True,True,holdout,linear,1060730203680.9406,0.681978388045274,
False,False,True,holdout,linear,1075591564373.5575,0.6721713717665636,
False,True,True,kfold,nn,1096163324315.2897,0.5841305861654937,
False,True,True,kfold,tree,1136310699776.1968,0.5594515351565942,
False,True,False,kfold,linear,1184431222652.6672,0.6362078216171851,
True,True,True,holdout,linear,1189814111153.3967,0.6288051293846626,
False,False,False,kfold,linear,1196890161786.7837,0.6324476415125714,
True,True,False,kfold,linear,1210187276805.5994,0.6313977111501536,
True,False,False,kfold,linear,1220247733756.3267,0.628043187568249,
True,False,True,holdout,linear,1254668034387.3933,0.6569970311891082,
False,True,True,holdout,nn,1263027098396.6064,0.6213269760956026,
False,False,True,kfold,tree,1309674475500.2664,0.48143655156230236,
False,True,True,holdout,tree,1373019565458.9448,0.5883497104755093,
True,False,True,kfold,tree,1460040003702.6155,0.4340760598249325,
False,False,True,holdout,nn,1531794852042.815,0.5331255639098418,
False,False,True,holdout,tree,1576953996470.3608,0.519361547102495,
True,True,True,kfold,tree,1581018608106.6558,0.3999095728466892,
False,True,False,holdout,linear,1732396962787.666,0.6572612747769553,
False,False,False,holdout,linear,1754318687330.6643,0.6529242642153184,
True,True,False,holdout,linear,1799482241793.5376,0.6439890724459687,
True,False,False,holdout,linear,1816506314271.7595,0.6406210170726196,
True,True,True,holdout,tree,1838930347716.1284,0.42629566577471767,
True,False,True,holdout,tree,1939632409575.61,0.4697404758453909,
True,False,False,kfold,tree,1948972043670.6882,0.39180467036098665,
True,True,False,kfold,tree,1958543566166.2234,0.40221176108206913,
False,False,False,kfold,tree,1983639990891.5632,0.3621834708389543,
False,True,False,kfold,tree,1994025927252.166,0.3916482339950479,
True,True,True,holdout,nn,2443786036970.1553,0.23759448362454816,
True,True,False,holdout,tree,2638776812103.159,0.4779423999491177,
True,False,False,holdout,tree,2676377267330.4434,0.47050349745204323,
True,False,True,kfold,nn,2693775397390.55,-0.05362365191781286,
False,False,False,holdout,tree,2704600031091.911,0.46491988452633626,
False,True,False,holdout,tree,2744820074224.082,0.45696272077712596,
True,True,True,kfold,nn,2814935098826.981,-0.09088986421603237,
True,False,True,holdout,nn,2972426270922.2954,0.1873937905848988,
True,True,False,kfold,nn,3024377186352.124,0.02590931289210332,
False,True,False,kfold,nn,3063029968673.202,0.016821401328836517,
True,True,False,holdout,nn,3328064088052.906,0.341573284009703,
False,False,False,kfold,nn,3411712599984.6963,-0.10026400543388884,
True,False,False,kfold,nn,3423303594680.0195,-0.10246624543345213,
False,True,False,holdout,nn,3656501594000.8413,0.2765949594559046,
True,False,False,holdout,nn,4027296837354.007,0.2032365481013073,
False,False,False,holdout,nn,4085294305527.249,0.19176228513799964,
